chr	tss	strand	gene
2	127885922	-	AMMECR1L
2	128028120	-	SAP130
2	128091200	+	UGGT1
2	128318868	-	HS6ST1
2	129979666	+	RAB6C
2	130129222	-	POTEF
2	130145134	-	CCDC74B
2	130182750	-	SMPD4
2	130181737	+	MZT2B
2	130198439	-	TUBA3E
2	130342699	-	CCDC115
2	130342877	+	IMP4
2	130356045	+	PTPN18
2	130509707	-	POTEI
2	130521197	+	CFC1B
2	130599575	-	CFC1
2	130611481	+	POTEJ
2	130729070	+	GPR148
2	130755435	+	AMER3
2	130836916	+	ARHGEF4
2	131035092	+	SMIM39
2	131093460	-	FAM168B
2	131104847	+	PLEKHB2
2	131218067	+	POTEE
2	131364142	-	RAB6D
2	131492743	-	MZT2A
2	131476119	+	TUBA3D
2	131527675	+	CCDC74A
2	132257969	-	ANKRD30BL
2	132416805	+	GPR39
2	132671579	-	LYPD1
2	133568463	-	NCKAP5
2	134119983	+	MGAT5
2	134719000	-	TMEM163
2	134838616	+	ACMSD
2	134918235	+	CCNT2
2	135047468	-	MAP3K19
2	135052265	+	RAB3GAP1
2	135531218	-	ZRANB3
2	135531455	+	R3HDM1
2	135741734	+	UBXN4
2	135837184	-	LCT
2	135876443	-	MCM6
2	135986100	-	DARS1
2	136118149	-	CXCR4
2	136765545	+	THSD7B
2	137964020	+	HNMT
2	138501770	+	SPOPL
2	138780390	-	NXPH2
2	142131016	-	LRP1B
2	142877657	+	KYNU
2	143091362	+	ARHGAP15
2	144332568	-	GTDC1
2	144521057	-	ZEB2
2	147844517	+	ACVR2A
2	148021604	-	ORC4
2	148021011	+	MBD5
2	148644440	+	EPC2
2	148875227	+	KIF5C
2	149038107	+	LYPD6B
2	149329985	+	LYPD6
2	149587778	-	MMADHC
2	150539011	-	RND3
2	151261863	-	RBM43
2	151289894	-	NMI
2	151357592	+	TNFAIP6
2	151409883	+	RIF1
2	151734487	-	NEB
2	151828492	-	ARL5A
2	151973949	-	AC068547.1
2	152099475	-	CACNB4
2	152175763	-	STAM2
2	152335174	+	FMNL2
2	152717997	-	PRPF40A
2	152717893	+	ARL6IP6
2	153478762	-	RPRM
2	153871922	+	GALNT13
2	154697855	+	KCNJ3
2	156342348	-	NR4A2
2	156435290	+	GPD2
2	157257705	+	GALNT5
2	157327713	-	ERMN
2	157488961	-	CYTIP
2	157628864	-	ACVR1C
2	157876330	-	ACVR1
2	157876702	+	UPP2
2	158456753	-	CCDC148
2	158456964	+	PKP4
2	158795317	+	DAPL1
2	158968640	+	TANC1
2	159286799	-	WDSUB1
2	159616569	-	BAZ2B
2	159712457	+	MARCHF7
2	159798255	-	CD302
2	159904710	-	LY75-CD302
2	159904756	-	LY75
2	160062615	-	PLA2R1
2	160200313	-	ITGB6
2	160493807	-	RBMS1
2	161136908	+	TANK
2	161308425	+	PSMD14
2	161416297	+	TBR1
2	161424332	+	SLC4A10
2	162074215	-	DPP4
2	162152404	-	GCG
2	162245151	-	FAP
2	162318684	-	IFIH1
2	162318840	+	GCA
2	162838767	-	KCNH7
2	163736012	-	FIGN
2	164621482	-	GRB14
2	164843679	-	COBLL1
2	164955525	-	SLC38A11
2	165204067	-	SCN3A
2	165194993	+	SCN2A
2	165469647	+	CSRNP3
2	165794659	-	GALNT3
2	165953816	-	TTC21B
2	166149214	-	SCN1A
2	166376001	-	SCN9A
2	166611482	-	SCN7A
2	166888487	+	XIRP2
2	167868948	+	B3GALT1
2	168247595	-	STK39
2	168455862	+	CERS6
2	168786539	+	NOSTRIN
2	168913371	-	SPC25
2	168901291	+	G6PC2
2	169031324	-	ABCB11
2	169064789	+	DHRS9
2	169362534	-	LRP2
2	169479480	+	BBS5
2	169479480	+	AC093899.2
2	169509702	+	KLHL41
2	169573875	-	FASTKD1
2	169584344	+	PPIG
2	169694405	-	CCDC173
2	169694454	+	PHOSPHO2
2	169694488	+	KLHL23
2	169791933	+	SSB
2	169824931	-	METTL5
2	169827454	+	UBR3
2	170178145	+	MYO3B
2	170715337	+	SP5
2	170783786	+	ERICH2
2	170813213	+	GAD1
2	170928464	+	GORASP2
2	171231314	-	TLK1
2	171434802	-	METTL8
2	171434217	+	DCAF17
2	171522247	+	CYBRD1
2	171687409	+	DYNC1I2
2	171999859	-	SLC25A12
2	171922448	+	HAT1
2	171999943	+	METAP1D
2	172084740	+	DLX1
2	172102900	-	DLX2
2	172427354	+	ITGA6
2	172555373	+	PDK1
2	172735274	+	RAPGEF4
2	173075435	+	MAP3K20
2	173354820	+	CDCA7
2	173965702	-	SP3
2	174248599	-	OLA1
2	174334954	+	SP9
2	174395712	-	CIR1
2	174395730	+	SCRN3
2	174487094	-	GPR155
2	174682916	-	WIPF1
2	174787935	-	CHRNA1
2	175005381	-	CHN1
2	175168382	-	ATF2
2	175184607	-	ATP5MC3
2	176002839	-	LNPK
2	176083913	-	EVX2
2	176092721	+	HOXD13
2	176099795	+	HOXD12
2	176104216	+	HOXD11
2	176108790	+	HOXD10
2	176122719	+	HOXD9
2	176129694	+	HOXD8
2	176136612	+	HOXD3
2	176151550	+	HOXD4
2	176188668	+	HOXD1
2	176269395	+	MTX2
2	177212563	+	HNRNPA3
2	177392697	-	NFE2L2
2	177392757	+	AGPS
2	177552796	-	TTC30B
2	177618742	-	TTC30A
2	178072777	-	PDE11A
2	178108339	-	PDE11A
2	178112424	+	RBM45
2	178194481	+	OSBPL6
2	178451512	-	PRKRA
2	178451346	+	PJVK
2	178478600	-	FKBP7
2	178480457	+	PLEKHA3
2	178830802	-	TTN
2	179050086	-	CCDC141
2	179264832	-	SESTD1
2	179861612	-	ZNF385B
2	180007297	-	CWC22
2	180967248	+	UBE2E3
2	181457202	+	ITGA4
2	181680665	-	CERKL
2	181680876	-	NEUROD1
2	181891730	+	ITPRID2
2	181954241	+	PPP1R1C
2	182523192	-	PDE1A
2	182716041	+	DNAJC10
2	182866637	-	FRZB
2	183038858	-	NCKAP1
2	183078559	+	DUSP19
2	183117513	+	NUP35
2	184598529	+	ZNF804A
2	185738804	+	FSIP2
2	186486253	+	ZC3H15
2	186590056	+	ITGAV
2	186694060	+	FAM171B
2	186849208	-	ZSWIM2
2	187448460	-	CALCRL
2	187565760	-	TFPI
2	188291669	+	GULP1
2	188790104	-	DIRC1
2	188974373	+	COL3A1
2	189225312	-	COL5A2
2	189441446	+	WDR75
2	189583758	-	SLC40A1
2	189661385	+	ASNSD1
2	189661452	+	ASDURF
2	189661519	+	AC012488.2
2	189674290	+	ANKAR
2	189763227	-	OSGEPL1
2	189784364	-	ORMDL1
2	189784085	+	PMS1
2	189879609	+	C2orf88
2	190062729	-	MSTN
2	190344193	-	HIBCH
2	190343570	+	INPP1
2	190408355	+	MFSD6
2	190534722	-	NEMP2
2	190646746	+	NAB1
2	190880821	+	GLS
2	191020960	-	STAT1
2	191151596	-	STAT4
2	191245185	+	MYO1B
2	191678068	+	NABP1
2	191847088	-	CAVIN2
2	192194933	-	TMEFF2
2	195575977	+	SLC39A10
2	196068837	-	DNAH7
2	196176503	-	STK17B
2	196593684	-	HECW2
2	196639554	+	CCDC150
2	196799725	-	GTF3C3
2	196810276	-	C2orf66
2	196927796	-	PGAP1
2	197311173	-	ANKRD44
2	197435091	-	SF3B1
2	197453423	+	COQ10B
2	197516737	-	HSPD1
2	197500140	+	HSPE1
2	197500413	+	HSPE1-MOB4
2	197515571	+	MOB4
2	197676045	-	RFTN2
2	197705369	+	MARS2
2	197786762	-	BOLL
2	197804593	+	PLCL1
2	199471266	-	SATB2
2	199851173	-	FTCDNL1
2	199911293	+	C2orf69
2	199955736	-	TYW5
2	199955317	+	MAIP1
2	200305881	+	SPATS2L
2	200519784	-	KCTD18
2	200510008	+	SGO2
2	200586014	+	AOX1
2	200810594	+	BZW1
2	200864744	-	CLK1
2	200889303	-	PPIL3
2	200889327	+	NIF3L1
2	200963680	-	ORC2
2	201071671	-	FAM126B
2	201071433	+	NDUFB3
2	201116154	+	CFLAR
2	201182898	+	CASP10
2	201233443	+	CASP8
2	201357398	-	FLACC1
2	201451500	-	TRAK2
2	201387858	+	STRADB
2	201619178	-	C2CD6
2	201643570	-	TMEM237
2	201698694	-	MPP4
2	201780956	-	ALS2
2	201790461	+	CDK15
2	202034587	+	FZD7
2	202073255	+	KIAA2012
2	202238608	-	SUMO1
2	202265736	+	NOP58
2	202376327	+	BMPR2
2	202634969	+	FAM117B
2	202871985	-	ICA1L
2	203014798	-	WDR12
2	202912214	+	CARF
2	203014879	+	NBEAL1
2	203238977	+	CYP20A1
2	203328239	+	ABI2
2	203535335	-	RAPH1
2	203706475	+	CD28
2	203867771	+	CTLA4
2	203936763	+	ICOS
2	204545475	+	PARD3B
2	205681990	+	NRP2
2	206086303	-	INO80D
2	206159509	-	NDUFS1
2	206159585	+	EEF1B2
2	206218047	-	GPR1
2	206274663	+	ZDBF2
2	206443532	+	ADAM23
2	206642412	+	FAM237A
2	206718396	-	DYTN
2	206765328	-	MDH1B
2	206765357	+	FASTKD2
2	206939518	+	CPO
2	207167267	-	KLF7
2	207529737	+	CREB1
2	207625928	-	METTL21A
2	207711540	+	CCNYL1
2	207769906	-	FZD5
2	208025527	-	PLEKHM3
2	208124524	-	CRYGD
2	208129828	-	CRYGC
2	208146158	-	CRYGB
2	208163589	-	CRYGA
2	208190030	-	C2orf80
2	208266074	-	IDH1
2	208266255	+	PIKFYVE
2	208359714	+	PTH2R
2	209424058	+	MAP2
2	209771832	+	UNC80
2	210002565	+	RPE
2	210171409	-	KANSL1L
2	210225447	-	ACADL
2	210315174	-	MYL1
2	210477652	-	LANCL1
2	210477682	+	CPS1
2	212538841	-	ERBB4
2	213152427	-	IKZF2
2	213284379	+	SPAG16
2	214411054	+	VWC2L
2	214809683	-	BARD1
2	215138626	-	ABCA12
2	215311956	+	ATIC
2	215436073	-	FN1
2	216034096	-	MREG
2	216082955	-	PECR
2	216081866	+	TMEM169
2	216107464	+	XRCC5
2	216372483	-	MARCHF4
2	216412414	+	SMARCAL1
2	216498825	+	RPL37A
2	216632828	+	IGFBP2
2	216695549	-	IGFBP5
2	216860064	-	TNP1
2	218033982	-	TNS1
2	218034960	+	RUFY4
2	218125289	+	CXCR2
2	218166962	-	CXCR1
2	218217141	+	ARPC2
2	218259496	+	GPBAR1
2	218270257	-	AAMP
2	218270392	+	PNKD
2	218292586	-	TMBIM1
2	218356857	+	CATIP
2	218382029	+	SLC11A1
2	218398256	+	CTDSP1
2	218419121	+	VIL1
2	218568351	-	USP37
2	218568580	+	CNOT9
2	218607855	+	PLCD4
2	218659655	-	ZNF142
2	218658764	+	BCS1L
2	218672002	-	RNF25
2	218672069	+	STK36
2	218710835	+	TTLL4
2	218781749	+	CYP27A1
2	218832086	-	PRKAG3
2	218859805	+	WNT6
2	218880852	+	WNT10A
2	218959666	+	CDK5R2
2	218985184	-	FEV
2	218993422	-	CRYBA2
2	219041527	-	CFAP65
2	219060921	-	IHH
2	219160865	-	NHEJ1
2	219170827	-	AC068946.1
2	219170095	-	SLC23A3
2	219178106	-	CNPPD1
2	219176225	+	RETREG2
2	219195237	+	ZFAND2B
2	219218994	-	ABCB6
2	219222738	-	AC068946.2
2	219229717	-	ATG9A
2	219229783	+	ANKZF1
2	219245478	-	GLB1L
2	219245455	+	STK16
2	219278170	-	TUBA4A
2	219253243	+	TUBA4B
2	219279267	+	DNAJB2
2	219309648	-	PTPRN
2	219333177	-	RESP18
2	219400022	-	DNPEP
2	219418377	+	DES
2	219434843	+	SPEG
2	219491867	+	AC053503.6
2	219496125	+	SPEGNB
2	219498867	+	GMPPA
2	219514170	+	ASIC4
2	219543809	-	CHPF
2	219543663	+	TMEM198
2	219571859	-	OBSL1
2	219569162	+	INHA
2	219597857	+	STK11IP
2	219627394	+	SLC4A3
2	221574202	-	EPHA4
2	222298996	-	PAX3
2	222298147	+	CCDC140
2	222424543	+	SGPP2
2	222656092	-	FARSB
2	222671658	+	MOGAT1
2	222860942	+	ACSL3
2	223051814	+	KCNE4
2	223602361	-	SCG2
2	223838027	-	AP1S3
2	223945299	-	AC093884.1
2	223945357	-	WDFY1
2	223957463	+	MRPL44
2	224039318	-	SERPINE2
2	224402107	-	FAM124B
2	224585397	-	CUL3
2	224716365	-	CCDC195
2	225042445	-	DOCK10
2	225399710	+	NYAP2
2	226799759	-	IRS1
2	226835581	+	RHBDD1
2	227164453	-	COL4A4
2	227164624	+	COL4A3
2	227325151	+	MFF
2	227381995	-	TM4SF20
2	227387949	-	SCYGR1
2	227472152	+	AGFG1
2	227598893	+	SCYGR2
2	227648606	-	C2orf83
2	227614840	-	SCYGR3
2	227616998	+	SCYGR4
2	227666804	+	SCYGR5
2	227718028	-	SLC19A3
2	227724757	-	SCYGR6
2	227728335	+	SCYGR7
2	227745845	+	SCYGR8
2	227805739	+	CCL20
2	227871054	+	DAW1
2	228181687	-	SPHKAP
2	229271285	-	PID1
2	229714555	-	DNER
2	229923239	-	TRIP12
2	229922302	+	FBXO36
2	230068993	-	SLC16A14
2	230225729	-	SP110
2	230203110	+	SP140
2	230327184	+	SP140L
2	230415942	+	SP100
2	230712842	+	CAB39
2	230864639	+	ITM2C
2	230961066	-	GPR55
2	230990324	+	SPATA3
2	231037523	+	C2orf72
2	231056864	+	PSMD1
2	231125042	-	HTR2B
2	231198546	+	ARMC9
2	231395710	+	B3GNT7
2	231483641	-	NCL
2	231530445	-	NMUR1
2	231592864	+	TEX44
2	231706895	+	PTMA
2	231786272	-	PDE6D
2	231781671	+	COPS7B
2	231926396	-	NPPC
2	231961245	+	DIS3L2
2	232378724	+	ALPP
2	232406844	+	ALPG
2	232456125	+	ALPI
2	232487834	-	ECEL1
2	232520388	+	PRSS56
2	232525993	+	CHRND
2	232539692	+	CHRNG
2	232550557	-	TIGD1
2	232550674	+	EIF4E2
2	232606057	+	EFHD1
2	232697299	+	GIGYF2
2	232776565	-	KCNJ13
2	232857270	+	SNORC
2	233013256	-	NGEF
2	233032672	+	NEU2
2	233059967	+	INPP5D
2	233210051	+	ATG16L1
2	233307816	+	SAG
2	233354507	+	DGKD
2	233566782	-	USP40
2	233617645	+	UGT1A8
2	233636454	+	UGT1A10
2	233671898	+	UGT1A9
2	233681938	+	UGT1A7
2	233691607	+	UGT1A6
2	233712992	+	UGT1A5
2	233718778	+	UGT1A4
2	233729108	+	UGT1A3
2	233760270	+	UGT1A1
2	233775679	+	MROH2A
2	233854566	-	HJURP
2	233917373	+	TRPM8
2	234050679	+	SPP2
2	234497081	-	ARL4C
2	234952017	+	SH3BP4
2	235494043	+	AGAP1
2	236168386	-	GBX2
2	236264409	-	ASB18
2	236507535	-	IQCA1
2	236567787	+	ACKR3
2	237085882	+	COPS8
2	237414207	-	COL6A3
2	237485428	+	MLPH
2	237566574	+	PRLH
2	237601614	-	RAB17
2	237627587	+	LRRFIP1
2	237798389	+	RBM44
2	237858893	+	RAMP1
2	237966827	+	UBE2F
2	237967014	+	UBE2F-SCLY
2	238060924	+	SCLY
2	238100340	+	ESPNL
2	238138668	+	KLHL30
2	238158970	+	ERFE
2	238203708	-	ILKAP
2	238240662	-	HES6
2	238290102	-	PER2
2	238320441	+	TRAF3IP1
2	238426742	+	ASB1
2	238848032	+	TWIST2
2	239401654	-	HDAC4
2	240025345	-	NDUFA10
2	240030456	-	OR6B2
2	240047027	-	OR6B3
2	240136807	-	COPS9
2	240144562	-	OTOS
2	240435663	+	GPC1
2	240569209	-	ANKMY1
2	240560054	+	DUSP28
2	240565804	+	RNPEPL1
2	240586734	+	CAPN10
2	240605430	+	GPR35
2	240682906	-	AQP12B
2	240691851	+	AQP12A
2	240821036	-	KIF1A
2	240868824	+	AGXT
2	240896889	-	MAB21L4
2	240906330	+	CROCC2
2	240998618	+	SNED1
2	241102332	-	MTERF4
2	241150264	-	PASK
2	241149576	+	PPP1R7
2	241188509	+	ANO7
2	241317061	-	HDLBP
2	241315100	+	SEPTIN2
2	241356285	+	FARP2
2	241509730	-	STK25
2	241551424	+	BOK
2	241637158	-	THAP4
2	241637213	+	ATG4B
2	241686944	-	DTYMK
2	241687085	+	ING5
2	241734602	+	D2HGDH
2	241776822	+	GAL3ST2
2	241808825	+	NEU4
2	241858894	-	PDCD1
2	241869600	+	RTP5
2	241902551	-	FAM240C
3	196763	+	CHL1
3	1092658	+	CNTN6
3	2098813	+	CNTN4
3	3126613	-	IL5RA
3	3126933	+	TRNT1
3	3179727	-	CRBN
3	4467273	-	SUMF1
3	3799431	+	LRRN1
3	4303304	+	SETMAR
3	4493345	+	ITPR1
3	4979437	+	BHLHE40
3	5122245	+	ARL8B
3	5187646	+	EDEM1
3	6770001	+	GRM7
3	8501807	+	LMCD1
3	8745040	-	SSUH2
3	8733802	+	CAV3
3	8769628	-	OXTR
3	8963773	-	RAD18
3	9363053	-	SRGAP3
3	9362971	+	THUMPD3
3	9397615	+	SETD5
3	9553822	-	LHFPL4
3	9649433	+	MTMR14
3	9703826	+	CPNE9
3	9731729	+	BRPF1
3	9749944	+	OGG1
3	9769992	-	CAMK1
3	9793011	-	TADA3
3	9792495	+	ARPC4
3	9793082	+	ARPC4-TTLL3
3	9808086	+	TTLL3
3	9844602	-	RPUSD3
3	9880254	-	CIDEC
3	9890574	+	JAGN1
3	9902612	+	IL17RE
3	9917074	+	IL17RC
3	9929852	+	AC018809.3
3	9933816	+	CRELD1
3	9952408	-	PRRT3
3	10011116	-	EMC3
3	10026414	+	FANCD2
3	10108255	-	FANCD2OS
3	10115675	+	BRK1
3	10141008	+	VHL
3	10164919	+	IRAK2
3	10248023	+	TATDN2
3	10249372	+	AC022384.1
3	10292947	-	GHRL
3	10321112	-	SEC13
3	10708007	-	ATP2B2
3	10816201	+	SLC6A11
3	10992186	+	SLC6A1
3	11137093	+	HRH1
3	11272309	+	ATG7
3	11771350	-	VGLL4
3	11846919	-	TAMM41
3	12004388	+	SYN2
3	12158912	-	TIMP4
3	12287368	+	PPARG
3	12484432	+	TSEN2
3	12561059	-	MKRN2OS
3	12557087	+	MKRN2
3	12664226	-	RAF1
3	12769457	-	TMEM40
3	12796472	+	CAND2
3	12841582	-	RPL32
3	13283281	-	IQSEC1
3	13420322	-	NUP210
3	13479724	+	HDAC11
3	13549125	+	FBLN2
3	13880071	-	WNT7A
3	14124870	-	CHCHD4
3	14124940	+	TMEM43
3	14135217	+	AC090004.1
3	14178783	-	XPC
3	14178817	+	LSM3
3	14402576	+	SLC6A6
3	14556075	-	GRIP2
3	14651746	+	CCDC174
3	14675141	+	C3orf20
3	14810853	+	FGD5
3	14947584	+	NR2C2
3	15065317	-	MRPS25
3	15099163	-	RBSN
3	15206152	+	CAPN7
3	15341368	-	SH3BP5
3	15440566	-	METTL6
3	15427598	+	EAF1
3	15521751	-	COLQ
3	15601852	-	HACL1
3	15601341	+	BTD
3	15859771	-	ANKRD28
3	16174680	+	GALNT15
3	16264969	-	DPH3
3	16265160	+	OXNAD1
3	16514026	-	RFTN1
3	16670306	-	DAZL
3	16802651	+	PLCL2
3	18444817	-	TBC1D5
3	18445588	-	SATB1
3	19148510	+	KCNH8
3	19947025	-	EFHB
3	19947097	+	RAB5A
3	20012267	-	PP2D1
3	20040446	+	KAT2B
3	20186206	-	SGO1
3	22373321	-	ZNF385D
3	23203020	+	UBE2E2
3	23805955	+	UBE2E1
3	23946591	-	NKIRAS1
3	23916545	+	RPL15
3	23945286	+	NR1D2
3	24495756	-	THRB
3	25174332	+	RARB
3	25664907	-	TOP2B
3	25790039	-	NGLY1
3	25782917	+	OXSM
3	26622806	+	LRRC3B
3	27369460	-	NEK10
3	27484420	-	SLC4A7
3	27722711	-	EOMES
3	28241584	+	CMC1
3	28349050	-	AZI2
3	28348721	+	ZCWPW2
3	28349178	+	AC098650.1
3	28574791	+	RBMS3
3	30606601	+	TGFBR2
3	30894765	-	GADL1
3	31532638	+	STT3B
3	32077580	-	OSBPL10
3	31981750	+	ZNF860
3	32105689	+	GPD1L
3	32238679	+	CMTM8
3	32391698	+	CMTM7
3	32502852	-	CMTM6
3	32570858	-	DYNC1LI1
3	32685145	+	CNOT10
3	32817997	+	TRIM71
3	32951644	+	CCR4
3	33097202	-	GLB1
3	33097146	-	TMPPE
3	33114014	+	CRTAP
3	33218810	-	SUSD5
3	33277025	+	FBXL2
3	33441371	-	UBP1
3	33718356	-	CLASP2
3	33798571	+	PDCD6IP
3	35638945	+	ARPP21
3	36380344	+	STAC
3	36764349	-	DCLK3
3	36945098	-	TRANK1
3	36993131	-	EPM2AIP1
3	36993350	+	MLH1
3	37183689	-	LRRFIP2
3	37243177	+	GOLGA4
3	37452115	+	ITGA9
3	37861880	+	CTDSPL
3	37988059	+	VILL
3	38029762	-	PLCD1
3	38039205	+	DLEC1
3	38137242	-	ACAA1
3	38138478	+	MYD88
3	38165089	+	OXSR1
3	38265812	+	SLC22A13
3	38282294	+	SLC22A14
3	38346760	+	XYLB
3	38453890	+	ACVR2B
3	38496127	+	EXOG
3	38649687	-	SCN5A
3	38816286	-	SCN10A
3	39051941	-	SCN11A
3	39052013	+	WDR48
3	39108363	-	GORASP1
3	39107704	+	TTC21A
3	39154562	-	CSRNP1
3	39192596	-	XIRP1
3	39281735	-	CX3CR1
3	39329709	+	CCR8
3	39383370	+	SLC25A38
3	39406716	+	RPSA
3	39467198	+	MOBP
3	39808914	+	MYRIP
3	40309707	+	EIF1B
3	40387184	+	ENTPD3
3	40457292	+	RPL14
3	40477113	+	ZNF619
3	40477131	+	ZNF620
3	40524878	+	ZNF621
3	41194741	+	CTNNB1
3	41962130	-	ULK4
3	42013802	+	TRAK1
3	42266185	-	CCK
3	42410610	-	LYZL4
3	42489299	+	VIPR1
3	42601080	-	SEC22C
3	42581840	+	SS18L2
3	42600655	+	NKTR
3	42653697	+	ZBTB47
3	42685537	+	KLHL40
3	42702824	-	HHATL
3	42773253	-	CCDC13
3	42804518	-	AC006059.2
3	42804531	-	HIGD1A
3	42804752	+	ACKR2
3	42809446	+	AC092042.3
3	42809483	+	KRBOX1
3	42875898	-	CYP8B1
3	42906142	+	ZNF662
3	42979267	+	GASK1A
3	43106079	-	POMGNT2
3	43286512	+	SNRK
3	43691594	-	ANO10
3	43690108	+	ABHD5
3	44241886	+	TOPAZ1
3	44338119	+	TCAIM
3	44477670	-	ZNF445
3	44510636	-	ZNF852
3	44555193	+	ZKSCAN7
3	44578223	+	ZNF660
3	44584888	+	ZNF197
3	44648732	+	ZNF35
3	44712643	+	ZNF502
3	44729596	+	ZNF501
3	44761619	-	KIAA1143
3	44761721	+	KIF15
3	44861904	+	TMEM42
3	44874608	+	TGM4
3	44976185	-	ZDHHC3
3	44975241	+	EXOSC7
3	45001548	+	CLEC3B
3	45146422	-	CDCP1
3	45226287	-	TMEM158
3	45388561	+	LARS2
3	45555394	+	LIMD1
3	45796536	-	SLC6A20
3	45916042	-	LZTFL1
3	45886504	+	CCR9
3	45995824	-	FYCO1
3	45940933	+	CXCR6
3	46027742	-	XCR1
3	46163604	+	CCR3
3	46208313	-	CCR1
3	46353734	+	CCR2
3	46370854	+	CCR5
3	46407166	+	CCRL2
3	46485234	-	LTF
3	46497976	+	RTP3
3	46580099	-	LRRC2
3	46574534	+	TDGF1
3	46581150	+	AC104304.2
3	46612435	+	FAM240A
3	46693704	-	ALS2CL
3	46694528	+	TMIE
3	46812574	-	AC109583.1
3	46717869	-	PRSS50
3	46750891	-	PRSS45P
3	46882172	-	MYL3
3	46877721	+	PTH1R
3	46982010	-	CCDC12
3	46979666	+	NBEAL2
3	47163967	-	SETD2
3	47283451	-	KIF9
3	47282917	+	KLHL18
3	47381011	+	PTPN23
3	47477126	-	SCAP
3	47513712	-	ELP6
3	47580792	-	CSPG5
3	47782106	-	SMARCC1
3	47802909	+	DHX30
3	48089272	-	MAP4
3	48188417	-	CDC25A
3	48223347	+	CAMP
3	48241100	+	ZNF589
3	48301685	-	NME6
3	48328341	-	SPINK8
3	48372219	+	FBXW12
3	48430086	-	PLXNB1
3	48440456	-	CCDC51
3	48440257	+	TMA7
3	48446710	+	ATRIP
3	48465811	+	TREX1
3	48504826	-	SHISA5
3	48562015	-	PFKFB4
3	48563781	-	UCN2
3	48595267	-	COL7A1
3	48610976	-	UQCRC1
3	48621769	-	TMEM89
3	48635493	-	SLC26A6
3	48662886	-	CELSR3
3	48686364	-	NCKIPSD
3	48740353	-	IP6K2
3	48847874	-	PRKAR2A
3	48898904	-	SLC25A20
3	48919385	-	ARIH2OS
3	48918821	+	ARIH2
3	48989889	+	P4HTM
3	49007062	+	WDR6
3	49022293	-	DALRD3
3	49020459	+	NDUFAF3
3	49029408	-	IMPDH2
3	49094363	-	QRICH1
3	49105130	-	QARS1
3	49120938	-	USP19
3	49133118	-	LAMB2
3	49166331	-	CCDC71
3	49171598	+	KLHDC8B
3	49191858	-	C3orf84
3	49198428	+	CCDC36
3	49277232	-	C3orf62
3	49340712	-	USP4
3	49412998	-	RHOA
3	49412206	+	TCTA
3	49429314	-	AC104452.1
3	49422685	-	AMT
3	49429326	-	NICN1
3	49468703	+	DAG1
3	49554477	+	BSN
3	49674014	+	APEH
3	49689501	-	MST1
3	49689538	+	RNF123
3	49719684	-	AMIGO3
3	49723951	-	GMPPB
3	49786542	-	IP6K1
3	49799873	-	CDHR4
3	49803261	+	INKA1
3	49813953	-	UBA7
3	49856574	-	TRAIP
3	49869935	-	CAMKV
3	49903873	-	MST1R
3	49930173	-	MON1A
3	49940007	+	RBM6
3	50088919	+	RBM5
3	50155045	+	SEMA3F
3	50191610	+	GNAT1
3	50205246	+	SLC38A3
3	50226292	+	GNAI2
3	50267558	+	SEMA3B
3	50279087	+	LSMEM2
3	50292918	-	IFRD2
3	50299405	-	HYAL3
3	50299421	-	NAA80
3	50312381	-	HYAL1
3	50322782	-	HYAL2
3	50328251	-	TUSC2
3	50340980	-	RASSF1
3	50345732	-	ZMYND10
3	50350826	-	NPRL2
3	50350695	+	CYB561D2
3	50350892	+	Z84492.2
3	50359521	-	TMEM115
3	50504244	-	CACNA2D2
3	50571027	-	C3orf18
3	50569152	+	HEMK1
3	50611831	-	CISH
3	50611520	+	MAPKAPK3
3	50674927	+	DOCK3
3	51385291	+	MANF
3	51391285	+	RBM15B
3	51500002	-	DCAF1
3	51541144	+	RAD54L2
3	51662693	+	TEX264
3	51707068	+	GRM2
3	51779241	-	IQCF6
3	51798803	+	AC097636.2
3	51826883	+	IQCF3
3	51861615	+	IQCF2
3	51875601	-	IQCF5
3	51903353	-	IQCF1
3	51941904	-	RRP9
3	51942345	+	PARP3
3	51955381	+	GPR62
3	51974016	-	PCBP4
3	51983409	-	ABHD14B
3	51971426	+	ABHD14A
3	51974706	+	ABHD14A-ACY1
3	51983340	+	ACY1
3	51995895	-	RPL29
3	52056571	-	DUSP7
3	52154690	-	POC1A
3	52198086	+	ALAS1
3	52226163	-	TLR9
3	52231190	-	AC097637.1
3	52239158	-	TWF2
3	52245759	+	PPM1M
3	52288020	-	WDR82
3	52287089	+	GLYCTK
3	52316319	+	DNAH1
3	52410008	-	BAP1
3	52410660	+	PHF7
3	52445103	-	SEMA3G
3	52454041	-	TNNC1
3	52455118	+	NISCH
3	52495338	+	STAB1
3	52535054	-	NT5DC2
3	52534013	+	SMIM4
3	52685917	-	PBRM1
3	52681156	+	GNL3
3	52706032	-	GLT8D1
3	52704955	+	SPCS1
3	52770946	-	NEK4
3	52777595	+	ITIH1
3	52794768	+	ITIH3
3	52830688	-	ITIH4
3	52835729	-	AC006254.1
3	52835019	-	MUSTN1
3	52897562	-	STIMATE-MUSTN1
3	52897548	-	STIMATE
3	53046750	-	SFMBT1
3	53099453	-	AC096887.1
3	53130453	-	RFT1
3	53156009	+	PRKCD
3	53256052	-	TKT
3	53347586	-	DCP1A
3	53328963	+	CACNA1D
3	53846419	-	CHDH
